link,tipo,publicado_clasipar,precio,descripcion,titulo,banio,habitaciones,ide,fecha_inserion,publicado_info,ciudad,publicado_facebook,publicado_hendyla,agente_remax,1publicado_clasipar,1publicado_info,1publicado_hendyla,1publicado_facebook,2publicado_clasipar,2publicado_info,2publicado_hendyla,2publicado_facebook,3publicado_clasipar,3publicado_info,3publicado_hendyla,3publicado_facebook,4publicado_clasipar,4publicado_info,4publicado_hendyla,4publicado_facebook,5publicado_clasipar,5publicado_info,5publicado_hendyla,5publicado_facebook,6publicado_clasipar,6publicado_info,6publicado_hendyla,6publicado_facebook,intentos,ano_construccion,mts
https://century21.com.py/propiedad/42995_casa-en-venta-en-pettirossi-asuncion-paraguay,casa,,185000 $,"Vendo Casa en Asuncion,barrio Pettirossi.
Frente a la Escuela Profesor Cleto Romero y a pasos del Mercado 4.
La Casa cuenta con :
4 habitaciones, uno en suite con vestidor.
Baño social.
Cocina amoblda.
Amplia Sala.
Lavadero.
Quincho con parrilla.
Patio com piscina.
Garage para 4 vehiculos.
Un departamento independiente.
Planta Alta.
Dos habitaciones .uno en suite con placares.
Sala comedor con balcon.
Cocina.
Lavadero.
Deposito.
Planta baja.
Habitacion con baño.
Todos los ambientes con ventiladores y AA splitt.
Con posibilidad de generrar renta.

Casa  4.500.000 gs
Departamento : 2.500.000 gs

Inversion 185.000 usd
Apto para credito bancario.


















.

.","Venta de Casa en Pettirossi, Asunción",1.0,4.0,42995.0,07/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,"11,0 m","503,0 m²"
https://century21.com.py/propiedad/43026_terreno-en-venta-en-la-encarnacion-asuncion-paraguay,terreno,,246500 $,"En venta terreno de 986 m² ubicado sobre la calle Presidente Franco, en pleno centro de Asunción. Una zona estratégica con alta valorización, ideal para proyectos comerciales, corporativos o residenciales.","Venta de Terreno en La Encarnación, Asunción",,,43026.0,07/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,"986,0 m²"
https://century21.com.py/propiedad/43027_terreno-en-venta-en-san-roque-asuncion-paraguay,terreno,,169500 $,"En venta terreno de 678 m² ubicado sobre la calle República de Colombia, en pleno centro de Asunción. Una zona estratégica con alta valorización, ideal para proyectos comerciales, corporativos o residenciales.","Venta de Terreno en San Roque, Asunción",,,43027.0,07/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,"678,0 m²"
https://century21.com.py/propiedad/43025_terreno-en-venta-en-san-roque-asuncion-paraguay,terreno,,318750 $,,"Venta de Terreno en San Roque, Asunción",,,43025.0,07/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
https://century21.com.py/propiedad/42640_oficinas-en-venta-en-recoleta-asuncion-paraguay,oficinas,,,,,,,,07/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
https://century21.com.py/propiedad/43016_departamento-en-venta-en-villa-morra-asuncion-paraguay,departamento,,,,,,,,07/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
https://century21.com.py/propiedad/42931_casa-en-venta-en-recoleta-asuncion-paraguay,casa,,,,,,,,07/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
https://century21.com.py/propiedad/42940_casa-en-venta-en-loma-pyta-asuncion-paraguay,casa,,,,,,,,07/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
https://century21.com.py/propiedad/42972_casa-en-venta-en-lambare-central-paraguay,casa,,,,,,,,07/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
https://century21.com.py/propiedad/42971_departamento-en-pozo-en-venta-en-las-lomas-asuncion-paraguay,departamento-en-pozo,,,,,,,,07/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
https://century21.com.py/propiedad/42964_casa-en-venta-en-catedral-asuncion-paraguay,casa,,,,,,,,07/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
https://century21.com.py/propiedad/42960_departamento-en-pozo-en-venta-en-villa-morra-asuncion-paraguay,departamento-en-pozo,,,,,,,,07/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
https://century21.com.py/propiedad/42959_departamento-en-pozo-en-venta-en-villa-morra-asuncion-paraguay,departamento-en-pozo,,,,,,,,07/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
https://century21.com.py/propiedad/42795_terreno-en-venta-en-loma-pyta-asuncion-paraguay,terreno,,,,,,,,07/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
https://century21.com.py/propiedad/42958_departamento-en-pozo-en-venta-en-villa-morra-asuncion-paraguay,departamento-en-pozo,,,,,,,,07/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
https://century21.com.py/propiedad/42957_departamento-en-pozo-en-venta-en-villa-morra-asuncion-paraguay,departamento-en-pozo,,,,,,,,07/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
https://century21.com.py/propiedad/42956_departamento-en-pozo-en-venta-en-villa-morra-asuncion-paraguay,departamento-en-pozo,,,,,,,,07/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
https://century21.com.py/propiedad/42881_departamento-en-renta-en-mcal.-estigarribia-asuncion-paraguay,departamento,,,,,,,,07/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
https://century21.com.py/propiedad/42880_departamento-en-renta-en-mcal.-estigarribia-asuncion-paraguay,departamento,,,,,,,,07/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
https://century21.com.py/propiedad/42624_departamento-en-pozo-en-venta-en-villa-morra-asuncion-paraguay,departamento-en-pozo,,,,,,,,07/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
https://century21.com.py/propiedad/42939_departamento-en-venta-en-mcal.-lopez-asuncion-paraguay,departamento,,,,,,,,07/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
https://century21.com.py/propiedad/42937_departamento-en-venta-en-mcal.-lopez-asuncion-paraguay,departamento,,,,,,,,07/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
https://century21.com.py/propiedad/42905_departamento-en-venta-en-la-encarnacion-asuncion-paraguay,departamento,,,,,,,,07/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
https://century21.com.py/propiedad/42888_terreno-en-venta-en-villa-hayes-presidente-hayes-paraguay,terreno,,,,,,,,07/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
https://century21.com.py/propiedad/42887_casa-en-condominio-en-venta-en-villa-hayes-presidente-hayes-paraguay,casa-en-condominio,,,,,,,,07/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
https://century21.com.py/propiedad/42886_casa-en-condominio-en-venta-en-villa-hayes-presidente-hayes-paraguay,casa-en-condominio,,,,,,,,07/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
https://century21.com.py/propiedad/42865_departamento-en-pozo-en-venta-en-herrera-asuncion-paraguay,departamento-en-pozo,,,,,,,,07/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
https://century21.com.py/propiedad/42858_departamento-en-pozo-en-venta-en-herrera-asuncion-paraguay,departamento-en-pozo,,,,,,,,07/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
https://century21.com.py/propiedad/42857_departamento-en-pozo-en-venta-en-herrera-asuncion-paraguay,departamento-en-pozo,,,,,,,,07/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
https://century21.com.py/propiedad/42856_departamento-en-pozo-en-venta-en-herrera-asuncion-paraguay,departamento-en-pozo,,,,,,,,07/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
https://century21.com.py/propiedad/42855_departamento-en-pozo-en-venta-en-herrera-asuncion-paraguay,departamento-en-pozo,,,,,,,,07/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
https://century21.com.py/propiedad/42851_departamento-en-pozo-en-venta-en-herrera-asuncion-paraguay,departamento-en-pozo,,,,,,,,07/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
https://century21.com.py/propiedad/42847_departamento-en-pozo-en-venta-en-herrera-asuncion-paraguay,departamento-en-pozo,,,,,,,,07/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
https://century21.com.py/propiedad/42845_departamento-en-pozo-en-venta-en-herrera-asuncion-paraguay,departamento-en-pozo,,,,,,,,07/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
https://century21.com.py/propiedad/42844_departamento-en-pozo-en-venta-en-herrera-asuncion-paraguay,departamento-en-pozo,,,,,,,,07/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
https://century21.com.py/propiedad/42732_terreno-en-venta-en-republicano-asuncion-paraguay,terreno,,,,,,,,07/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
https://century21.com.py/propiedad/42842_departamento-en-pozo-en-venta-en-herrera-asuncion-paraguay,departamento-en-pozo,,,,,,,,07/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
https://century21.com.py/propiedad/42840_departamento-en-pozo-en-venta-en-herrera-asuncion-paraguay,departamento-en-pozo,,,,,,,,07/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
https://century21.com.py/propiedad/42839_departamento-en-pozo-en-venta-en-herrera-asuncion-paraguay,departamento-en-pozo,,,,,,,,07/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
https://century21.com.py/propiedad/42818_terreno-en-venta-en-zeballos-cue-asuncion-paraguay,terreno,,,,,,,,07/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
https://century21.com.py/propiedad/42825_departamento-en-pozo-en-venta-en-las-mercedes-asuncion-paraguay,departamento-en-pozo,,,,,,,,07/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
https://century21.com.py/propiedad/42824_departamento-en-pozo-en-venta-en-las-mercedes-asuncion-paraguay,departamento-en-pozo,,,,,,,,07/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
https://century21.com.py/propiedad/42823_departamento-en-pozo-en-venta-en-las-mercedes-asuncion-paraguay,departamento-en-pozo,,,,,,,,07/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
https://century21.com.py/propiedad/42768_departamento-en-pozo-en-venta-en-las-mercedes-asuncion-paraguay,departamento-en-pozo,,,,,,,,07/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
https://century21.com.py/propiedad/42797_departamento-en-venta-en-herrera-asuncion-paraguay,departamento,,,,,,,,07/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
https://century21.com.py/propiedad/42773_departamento-en-venta-en-herrera-asuncion-paraguay,departamento,,,,,,,,07/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
https://century21.com.py/propiedad/42743_departamento-en-venta-en-ycua-sati-asuncion-paraguay,departamento,,,,,,,,07/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
https://century21.com.py/propiedad/42816_departamento-en-pozo-en-venta-en-herrera-asuncion-paraguay,departamento-en-pozo,,,,,,,,07/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
https://century21.com.py/propiedad/42815_departamento-en-pozo-en-venta-en-herrera-asuncion-paraguay,departamento-en-pozo,,,,,,,,07/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
https://century21.com.py/propiedad/42814_departamento-en-pozo-en-venta-en-herrera-asuncion-paraguay,departamento-en-pozo,,,,,,,,07/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
https://century21.com.py/propiedad/42812_departamento-en-pozo-en-venta-en-herrera-asuncion-paraguay,departamento-en-pozo,,,,,,,,07/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
https://century21.com.py/propiedad/42811_departamento-en-pozo-en-venta-en-herrera-asuncion-paraguay,departamento-en-pozo,,,,,,,,08/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
https://century21.com.py/propiedad/42810_departamento-en-pozo-en-venta-en-herrera-asuncion-paraguay,departamento-en-pozo,,,,,,,,08/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
https://century21.com.py/propiedad/42808_departamento-en-pozo-en-venta-en-herrera-asuncion-paraguay,departamento-en-pozo,,,,,,,,08/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
https://century21.com.py/propiedad/42758_departamento-en-pozo-en-venta-en-herrera-asuncion-paraguay,departamento-en-pozo,,,,,,,,08/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
https://century21.com.py/propiedad/42751_departamento-en-renta-en-ytay-asuncion-paraguay,departamento,,,,,,,,08/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
https://century21.com.py/propiedad/42793_departamento-en-pozo-en-venta-en-recoleta-asuncion-paraguay,departamento-en-pozo,,,,,,,,08/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
https://century21.com.py/propiedad/42792_departamento-en-pozo-en-venta-en-recoleta-asuncion-paraguay,departamento-en-pozo,,,,,,,,08/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
https://century21.com.py/propiedad/42791_departamento-en-pozo-en-venta-en-recoleta-asuncion-paraguay,departamento-en-pozo,,,,,,,,08/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
https://century21.com.py/propiedad/42790_departamento-en-pozo-en-venta-en-recoleta-asuncion-paraguay,departamento-en-pozo,,,,,,,,08/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
https://century21.com.py/propiedad/42789_departamento-en-pozo-en-venta-en-recoleta-asuncion-paraguay,departamento-en-pozo,,,,,,,,08/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
https://century21.com.py/propiedad/42788_departamento-en-pozo-en-venta-en-recoleta-asuncion-paraguay,departamento-en-pozo,,,,,,,,08/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
https://century21.com.py/propiedad/42786_departamento-en-pozo-en-venta-en-recoleta-asuncion-paraguay,departamento-en-pozo,,,,,,,,08/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
https://century21.com.py/propiedad/42785_departamento-en-pozo-en-venta-en-recoleta-asuncion-paraguay,departamento-en-pozo,,,,,,,,08/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
https://century21.com.py/propiedad/42784_departamento-en-pozo-en-venta-en-recoleta-asuncion-paraguay,departamento-en-pozo,,,,,,,,08/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
https://century21.com.py/propiedad/42782_departamento-en-pozo-en-venta-en-las-lomas-asuncion-paraguay,departamento-en-pozo,,,,,,,,08/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
https://century21.com.py/propiedad/42781_departamento-en-pozo-en-venta-en-las-lomas-asuncion-paraguay,departamento-en-pozo,,,,,,,,08/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
https://century21.com.py/propiedad/42779_departamento-en-pozo-en-venta-en-las-lomas-asuncion-paraguay,departamento-en-pozo,,,,,,,,08/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
https://century21.com.py/propiedad/42778_departamento-en-pozo-en-venta-en-las-lomas-asuncion-paraguay,departamento-en-pozo,,,,,,,,08/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
https://century21.com.py/propiedad/42777_departamento-en-pozo-en-venta-en-las-lomas-asuncion-paraguay,departamento-en-pozo,,,,,,,,08/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
https://century21.com.py/propiedad/42481_departamento-en-pozo-en-venta-en-recoleta-asuncion-paraguay,departamento-en-pozo,,,,,,,,08/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
https://century21.com.py/propiedad/42767_departamento-en-venta-en-mme.-lynch-asuncion-paraguay,departamento,,,,,,,,08/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
https://century21.com.py/propiedad/42770_departamento-en-pozo-en-venta-en-recoleta-asuncion-paraguay,departamento-en-pozo,,,,,,,,08/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
